timestamp	county	measure_names	measure_values
1602982802.61678	GADSDEN	Available Adult ICU	0
1602982802.61678	GADSDEN	Available Adult ICU%	NA
1602982802.61678	GADSDEN	Available Pediatric ICU	0
1602982802.61678	GADSDEN	Available Pediatric ICU%	NA
1602982802.61678	GADSDEN	Pediatric ICU Census	0
1602982802.61678	GADSDEN	Total AdultICU Capacity	0
1602982802.61678	GADSDEN	Total PediatricICU Capacity	0
1602982802.61678	GULF	Adult ICU Census	0
1602982802.61678	GULF	Available Adult ICU	0
1602982802.61678	GULF	Available Adult ICU%	NA
1602982802.61678	GULF	Available Pediatric ICU	0
1602982802.61678	GULF	Available Pediatric ICU%	NA
1602982802.61678	GULF	Pediatric ICU Census	0
1602982802.61678	GULF	Total AdultICU Capacity	0
1602982802.61678	GULF	Total PediatricICU Capacity	0
1602982802.61678	HARDEE	Adult ICU Census	0
1602982802.61678	HARDEE	Available Adult ICU	0
1602982802.61678	HARDEE	Available Adult ICU%	NA
1602982802.61678	HARDEE	Available Pediatric ICU	0
1602982802.61678	HARDEE	Available Pediatric ICU%	NA
1602982802.61678	HARDEE	Pediatric ICU Census	0
1602982802.61678	HARDEE	Total AdultICU Capacity	0
1602982802.61678	HARDEE	Total PediatricICU Capacity	0
1602982802.61678	HENDRY	Adult ICU Census	0
1602982802.61678	HENDRY	Available Adult ICU	4
1602982802.61678	HENDRY	Available Adult ICU%	1
1602982802.61678	HENDRY	Available Pediatric ICU	0
1602982802.61678	HENDRY	Available Pediatric ICU%	NA
1602982802.61678	HENDRY	Pediatric ICU Census	0
1602982802.61678	HENDRY	Total AdultICU Capacity	4
1602982802.61678	HENDRY	Total PediatricICU Capacity	0
1602982802.61678	HERNANDO	Adult ICU Census	46
1602982802.61678	HERNANDO	Available Adult ICU	16
1602982802.61678	HERNANDO	Available Adult ICU%	0.258064516
1602982802.61678	HERNANDO	Available Pediatric ICU	0
1602982802.61678	HERNANDO	Available Pediatric ICU%	NA
1602982802.61678	HERNANDO	Pediatric ICU Census	0
1602982802.61678	HERNANDO	Total AdultICU Capacity	62
1602982802.61678	HERNANDO	Total PediatricICU Capacity	0
1602982802.61678	HIGHLANDS	Adult ICU Census	19
1602982802.61678	HIGHLANDS	Available Adult ICU	6
1602982802.61678	HIGHLANDS	Available Adult ICU%	0.24
1602982802.61678	HIGHLANDS	Available Pediatric ICU	0
1602982802.61678	HIGHLANDS	Available Pediatric ICU%	NA
1602982802.61678	HIGHLANDS	Pediatric ICU Census	0
1602982802.61678	HIGHLANDS	Total AdultICU Capacity	25
1602982802.61678	HIGHLANDS	Total PediatricICU Capacity	0
1602982802.61678	HILLSBOROUGH	Adult ICU Census	318
1602982802.61678	HILLSBOROUGH	Available Adult ICU	53
1602982802.61678	HILLSBOROUGH	Available Adult ICU%	0.142857143
1602982802.61678	HILLSBOROUGH	Available Pediatric ICU	18
1602982802.61678	HILLSBOROUGH	Available Pediatric ICU%	0.428571429
1602982802.61678	HILLSBOROUGH	Pediatric ICU Census	24
1602982802.61678	HILLSBOROUGH	Total AdultICU Capacity	371
1602982802.61678	HILLSBOROUGH	Total PediatricICU Capacity	42
1602982802.61678	HOLMES	Adult ICU Census	0
1602982802.61678	HOLMES	Available Adult ICU	0
1602982802.61678	HOLMES	Available Adult ICU%	NA
1602982802.61678	HOLMES	Available Pediatric ICU	0
1602982802.61678	HOLMES	Available Pediatric ICU%	NA
1602982802.61678	HOLMES	Pediatric ICU Census	0
1602982802.61678	HOLMES	Total AdultICU Capacity	0
1602982802.61678	HOLMES	Total PediatricICU Capacity	0
1602982802.61678	INDIAN RIVER	Adult ICU Census	17
1602982802.61678	INDIAN RIVER	Available Adult ICU	12
1602982802.61678	INDIAN RIVER	Available Adult ICU%	0.413793103
1602982802.61678	INDIAN RIVER	Available Pediatric ICU	0
1602982802.61678	INDIAN RIVER	Available Pediatric ICU%	NA
1602982802.61678	INDIAN RIVER	Pediatric ICU Census	0
1602982802.61678	INDIAN RIVER	Total AdultICU Capacity	29
1602982802.61678	INDIAN RIVER	Total PediatricICU Capacity	0
1602982802.61678	JACKSON	Adult ICU Census	6
1602982802.61678	JACKSON	Available Adult ICU	2
1602982802.61678	JACKSON	Available Adult ICU%	0.25
1602982802.61678	JACKSON	Available Pediatric ICU	0
1602982802.61678	JACKSON	Available Pediatric ICU%	NA
1602982802.61678	JACKSON	Pediatric ICU Census	0
1602982802.61678	JACKSON	Total AdultICU Capacity	8
1602982802.61678	JACKSON	Total PediatricICU Capacity	0
1602982802.61678	LAKE	Adult ICU Census	72
1602982802.61678	LAKE	Available Adult ICU	32
1602982802.61678	LAKE	Available Adult ICU%	0.307692308
1602982802.61678	LAKE	Available Pediatric ICU	0
1602982802.61678	LAKE	Available Pediatric ICU%	NA
1602982802.61678	LAKE	Pediatric ICU Census	0
1602982802.61678	LAKE	Total AdultICU Capacity	104
1602982802.61678	LAKE	Total PediatricICU Capacity	0
1602982802.61678	LEE	Adult ICU Census	87
1602982802.61678	LEE	Available Adult ICU	34
1602982802.61678	LEE	Available Adult ICU%	0.280991736
1602982802.61678	LEE	Available Pediatric ICU	24
1602982802.61678	LEE	Available Pediatric ICU%	0.279069767
1602982802.61678	LEE	Pediatric ICU Census	62
1602982802.61678	LEE	Total AdultICU Capacity	121
1602982802.61678	LEE	Total PediatricICU Capacity	86
1602982802.61678	LEON	Adult ICU Census	68
1602982802.61678	LEON	Available Adult ICU	4
1602982802.61678	LEON	Available Adult ICU%	0.055555556
1602982802.61678	LEON	Available Pediatric ICU	6
1602982802.61678	LEON	Available Pediatric ICU%	0.666666667
1602982802.61678	LEON	Pediatric ICU Census	3
1602982802.61678	LEON	Total AdultICU Capacity	72
1602982802.61678	LEON	Total PediatricICU Capacity	9
1602982802.61678	MADISON	Adult ICU Census	0
1602982802.61678	MADISON	Available Adult ICU	0
1602982802.61678	MADISON	Available Adult ICU%	NA
1602982802.61678	MADISON	Available Pediatric ICU	0
1602982802.61678	MADISON	Available Pediatric ICU%	NA
1602982802.61678	MADISON	Pediatric ICU Census	0
1602982802.61678	MADISON	Total AdultICU Capacity	0
1602982802.61678	MADISON	Total PediatricICU Capacity	0
1602982802.61678	MANATEE	Adult ICU Census	61
1602982802.61678	MANATEE	Available Adult ICU	7
1602982802.61678	MANATEE	Available Adult ICU%	0.102941176
1602982802.61678	MANATEE	Available Pediatric ICU	0
1602982802.61678	MANATEE	Available Pediatric ICU%	NA
1602982802.61678	MANATEE	Pediatric ICU Census	0
1602982802.61678	MANATEE	Total AdultICU Capacity	68
1602982802.61678	MANATEE	Total PediatricICU Capacity	0
1602982802.61678	MARION	Adult ICU Census	75
1602982802.61678	MARION	Available Adult ICU	13
1602982802.61678	MARION	Available Adult ICU%	0.147727273
1602982802.61678	MARION	Available Pediatric ICU	0
1602982802.61678	MARION	Available Pediatric ICU%	NA
1602982802.61678	MARION	Pediatric ICU Census	0
1602982802.61678	MARION	Total AdultICU Capacity	88
1602982802.61678	MARION	Total PediatricICU Capacity	0
1602982802.61678	MARTIN	Adult ICU Census	14
1602982802.61678	MARTIN	Available Adult ICU	25
1602982802.61678	MARTIN	Available Adult ICU%	0.641025641
1602982802.61678	MARTIN	Available Pediatric ICU	0
1602982802.61678	MARTIN	Available Pediatric ICU%	NA
1602982802.61678	MARTIN	Pediatric ICU Census	0
1602982802.61678	MARTIN	Total AdultICU Capacity	39
1602982802.61678	MARTIN	Total PediatricICU Capacity	0
1602982802.61678	MIAMI-DADE	Adult ICU Census	723
1602982802.61678	MIAMI-DADE	Available Adult ICU	220
1602982802.61678	MIAMI-DADE	Available Adult ICU%	0.233297985
1602982802.61678	MIAMI-DADE	Available Pediatric ICU	47
1602982802.61678	MIAMI-DADE	Available Pediatric ICU%	0.408695652
1602982802.61678	MIAMI-DADE	Pediatric ICU Census	68
1602982802.61678	MIAMI-DADE	Total AdultICU Capacity	943
1602982802.61678	MIAMI-DADE	Total PediatricICU Capacity	115
1602982802.61678	MONROE	Adult ICU Census	5
1602982802.61678	MONROE	Available Adult ICU	8
1602982802.61678	MONROE	Available Adult ICU%	0.615384615
1602982802.61678	MONROE	Available Pediatric ICU	0
1602982802.61678	MONROE	Available Pediatric ICU%	NA
1602982802.61678	MONROE	Pediatric ICU Census	0
1602982802.61678	MONROE	Total AdultICU Capacity	13
1602982802.61678	MONROE	Total PediatricICU Capacity	0
1602982802.61678	NASSAU	Adult ICU Census	7
1602982802.61678	NASSAU	Available Adult ICU	1
1602982802.61678	NASSAU	Available Adult ICU%	0.125
1602982802.61678	NASSAU	Available Pediatric ICU	0
1602982802.61678	NASSAU	Available Pediatric ICU%	NA
1602982802.61678	NASSAU	Pediatric ICU Census	0
1602982802.61678	NASSAU	Total AdultICU Capacity	8
1602982802.61678	NASSAU	Total PediatricICU Capacity	0
1602982802.61678	OKALOOSA	Adult ICU Census	49
1602982802.61678	OKALOOSA	Available Adult ICU	5
1602982802.61678	OKALOOSA	Available Adult ICU%	0.092592593
1602982802.61678	OKALOOSA	Available Pediatric ICU	0
1602982802.61678	OKALOOSA	Available Pediatric ICU%	NA
1602982802.61678	OKALOOSA	Pediatric ICU Census	0
1602982802.61678	OKALOOSA	Total AdultICU Capacity	54
1602982802.61678	OKALOOSA	Total PediatricICU Capacity	0
1602982802.61678	OKEECHOBEE	Adult ICU Census	5
1602982802.61678	OKEECHOBEE	Available Adult ICU	3
1602982802.61678	OKEECHOBEE	Available Adult ICU%	0.375
1602982802.61678	OKEECHOBEE	Available Pediatric ICU	0
1602982802.61678	OKEECHOBEE	Available Pediatric ICU%	NA
1602982802.61678	OKEECHOBEE	Pediatric ICU Census	0
1602982802.61678	OKEECHOBEE	Total AdultICU Capacity	8
1602982802.61678	OKEECHOBEE	Total PediatricICU Capacity	0
1602982802.61678	ORANGE	Adult ICU Census	277
1602982802.61678	ORANGE	Available Adult ICU	127
1602982802.61678	ORANGE	Available Adult ICU%	0.314356436
1602982802.61678	ORANGE	Available Pediatric ICU	41
1602982802.61678	ORANGE	Available Pediatric ICU%	0.325396825
1602982802.61678	ORANGE	Pediatric ICU Census	85
1602982802.61678	ORANGE	Total AdultICU Capacity	404
1602982802.61678	ORANGE	Total PediatricICU Capacity	126
1602982802.61678	OSCEOLA	Adult ICU Census	95
1602982802.61678	OSCEOLA	Available Adult ICU	32
1602982802.61678	OSCEOLA	Available Adult ICU%	0.251968504
1602982802.61678	OSCEOLA	Available Pediatric ICU	0
1602982802.61678	OSCEOLA	Available Pediatric ICU%	NA
1602982802.61678	OSCEOLA	Pediatric ICU Census	0
1602982802.61678	OSCEOLA	Total AdultICU Capacity	127
1602982802.61678	OSCEOLA	Total PediatricICU Capacity	0
1602982802.61678	PALM BEACH	Adult ICU Census	340
1602982802.61678	PALM BEACH	Available Adult ICU	156
1602982802.61678	PALM BEACH	Available Adult ICU%	0.314516129
1602982802.61678	PALM BEACH	Available Pediatric ICU	18
1602982802.61678	PALM BEACH	Available Pediatric ICU%	0.5625
1602982802.61678	PALM BEACH	Pediatric ICU Census	14
1602982802.61678	PALM BEACH	Total AdultICU Capacity	496
1602982802.61678	PALM BEACH	Total PediatricICU Capacity	32
1602982802.61678	PASCO	Adult ICU Census	105
1602982802.61678	PASCO	Available Adult ICU	26
1602982802.61678	PASCO	Available Adult ICU%	0.198473282
1602982802.61678	PASCO	Available Pediatric ICU	0
1602982802.61678	PASCO	Available Pediatric ICU%	NA
1602982802.61678	PASCO	Pediatric ICU Census	0
1602982802.61678	PASCO	Total AdultICU Capacity	131
1602982802.61678	PASCO	Total PediatricICU Capacity	0
1602982802.61678	PINELLAS	Adult ICU Census	233
1602982802.61678	PINELLAS	Available Adult ICU	71
1602982802.61678	PINELLAS	Available Adult ICU%	0.233552632
1602982802.61678	PINELLAS	Available Pediatric ICU	5
1602982802.61678	PINELLAS	Available Pediatric ICU%	0.131578947
1602982802.61678	PINELLAS	Pediatric ICU Census	33
1602982802.61678	PINELLAS	Total AdultICU Capacity	304
1602982802.61678	PINELLAS	Total PediatricICU Capacity	38
1602982802.61678	POLK	Adult ICU Census	122
1602982802.61678	POLK	Available Adult ICU	47
1602982802.61678	POLK	Available Adult ICU%	0.278106509
1602982802.61678	POLK	Available Pediatric ICU	6
1602982802.61678	POLK	Available Pediatric ICU%	0.428571429
1602982802.61678	POLK	Pediatric ICU Census	8
1602982802.61678	POLK	Total AdultICU Capacity	169
1602982802.61678	POLK	Total PediatricICU Capacity	14
1602982802.61678	PUTNAM	Adult ICU Census	7
1602982802.61678	PUTNAM	Available Adult ICU	3
1602982802.61678	PUTNAM	Available Adult ICU%	0.3
1602982802.61678	PUTNAM	Available Pediatric ICU	0
1602982802.61678	PUTNAM	Available Pediatric ICU%	NA
1602982802.61678	PUTNAM	Pediatric ICU Census	0
1602982802.61678	PUTNAM	Total AdultICU Capacity	10
1602982802.61678	PUTNAM	Total PediatricICU Capacity	0
1602982802.61678	SANTA ROSA	Adult ICU Census	9
1602982802.61678	SANTA ROSA	Available Adult ICU	11
1602982802.61678	SANTA ROSA	Available Adult ICU%	0.55
1602982802.61678	SANTA ROSA	Available Pediatric ICU	0
1602982802.61678	SANTA ROSA	Available Pediatric ICU%	NA
1602982802.61678	SANTA ROSA	Pediatric ICU Census	0
1602982802.61678	SANTA ROSA	Total AdultICU Capacity	20
1602982802.61678	SANTA ROSA	Total PediatricICU Capacity	0
1602982802.61678	SARASOTA	Adult ICU Census	64
1602982802.61678	SARASOTA	Available Adult ICU	46
1602982802.61678	SARASOTA	Available Adult ICU%	0.418181818
1602982802.61678	SARASOTA	Available Pediatric ICU	0
1602982802.61678	SARASOTA	Available Pediatric ICU%	NA
1602982802.61678	SARASOTA	Pediatric ICU Census	0
1602982802.61678	SARASOTA	Total AdultICU Capacity	110
1602982802.61678	SARASOTA	Total PediatricICU Capacity	0
1602982802.61678	SEMINOLE	Adult ICU Census	63
1602982802.61678	SEMINOLE	Available Adult ICU	10
1602982802.61678	SEMINOLE	Available Adult ICU%	0.136986301
1602982802.61678	SEMINOLE	Available Pediatric ICU	0
1602982802.61678	SEMINOLE	Available Pediatric ICU%	NA
1602982802.61678	SEMINOLE	Pediatric ICU Census	0
1602982802.61678	SEMINOLE	Total AdultICU Capacity	73
1602982802.61678	SEMINOLE	Total PediatricICU Capacity	0
1602982802.61678	ST. JOHNS	Adult ICU Census	20
1602982802.61678	ST. JOHNS	Available Adult ICU	24
1602982802.61678	ST. JOHNS	Available Adult ICU%	0.545454545
1602982802.61678	ST. JOHNS	Available Pediatric ICU	0
1602982802.61678	ST. JOHNS	Available Pediatric ICU%	NA
1602982802.61678	ST. JOHNS	Pediatric ICU Census	0
1602982802.61678	ST. JOHNS	Total AdultICU Capacity	44
1602982802.61678	ST. JOHNS	Total PediatricICU Capacity	0
1602982802.61678	ST. LUCIE	Adult ICU Census	78
1602982802.61678	ST. LUCIE	Available Adult ICU	11
1602982802.61678	ST. LUCIE	Available Adult ICU%	0.123595506
1602982802.61678	ST. LUCIE	Available Pediatric ICU	3
1602982802.61678	ST. LUCIE	Available Pediatric ICU%	0.5
1602982802.61678	ST. LUCIE	Pediatric ICU Census	3
1602982802.61678	ST. LUCIE	Total AdultICU Capacity	89
1602982802.61678	ST. LUCIE	Total PediatricICU Capacity	6
1602982802.61678	SUMTER	Adult ICU Census	34
1602982802.61678	SUMTER	Available Adult ICU	6
1602982802.61678	SUMTER	Available Adult ICU%	0.15
1602982802.61678	SUMTER	Available Pediatric ICU	0
1602982802.61678	SUMTER	Available Pediatric ICU%	NA
1602982802.61678	SUMTER	Pediatric ICU Census	0
1602982802.61678	SUMTER	Total AdultICU Capacity	40
1602982802.61678	SUMTER	Total PediatricICU Capacity	0
1602982802.61678	SUWANNEE	Adult ICU Census	0
1602982802.61678	SUWANNEE	Available Adult ICU	0
1602982802.61678	SUWANNEE	Available Adult ICU%	NA
1602982802.61678	SUWANNEE	Available Pediatric ICU	0
1602982802.61678	SUWANNEE	Available Pediatric ICU%	NA
1602982802.61678	SUWANNEE	Pediatric ICU Census	0
1602982802.61678	SUWANNEE	Total AdultICU Capacity	0
1602982802.61678	SUWANNEE	Total PediatricICU Capacity	0
1602982802.61678	TAYLOR	Adult ICU Census	0
1602982802.61678	TAYLOR	Available Adult ICU	0
1602982802.61678	TAYLOR	Available Adult ICU%	NA
1602982802.61678	TAYLOR	Available Pediatric ICU	0
1602982802.61678	TAYLOR	Available Pediatric ICU%	NA
1602982802.61678	TAYLOR	Pediatric ICU Census	0
1602982802.61678	TAYLOR	Total AdultICU Capacity	0
1602982802.61678	TAYLOR	Total PediatricICU Capacity	0
1602982802.61678	UNION	Adult ICU Census	0
1602982802.61678	UNION	Available Adult ICU	0
1602982802.61678	UNION	Available Adult ICU%	NA
1602982802.61678	UNION	Available Pediatric ICU	0
1602982802.61678	UNION	Available Pediatric ICU%	NA
1602982802.61678	UNION	Pediatric ICU Census	0
1602982802.61678	UNION	Total AdultICU Capacity	0
1602982802.61678	UNION	Total PediatricICU Capacity	0
1602982802.61678	VOLUSIA	Adult ICU Census	150
1602982802.61678	VOLUSIA	Available Adult ICU	72
1602982802.61678	VOLUSIA	Available Adult ICU%	0.324324324
1602982802.61678	VOLUSIA	Available Pediatric ICU	5
1602982802.61678	VOLUSIA	Available Pediatric ICU%	1
1602982802.61678	VOLUSIA	Pediatric ICU Census	0
1602982802.61678	VOLUSIA	Total AdultICU Capacity	222
1602982802.61678	VOLUSIA	Total PediatricICU Capacity	5
1602982802.61678	WALTON	Adult ICU Census	9
1602982802.61678	WALTON	Available Adult ICU	14
1602982802.61678	WALTON	Available Adult ICU%	0.608695652
1602982802.61678	WALTON	Available Pediatric ICU	0
1602982802.61678	WALTON	Available Pediatric ICU%	NA
1602982802.61678	WALTON	Pediatric ICU Census	0
1602982802.61678	WALTON	Total AdultICU Capacity	23
1602982802.61678	WALTON	Total PediatricICU Capacity	0
1602982802.61678	WASHINGTON	Adult ICU Census	0
1602982802.61678	WASHINGTON	Available Adult ICU	0
1602982802.61678	WASHINGTON	Available Adult ICU%	NA
1602982802.61678	WASHINGTON	Available Pediatric ICU	0
1602982802.61678	WASHINGTON	Available Pediatric ICU%	NA
1602982802.61678	WASHINGTON	Pediatric ICU Census	0
1602982802.61678	WASHINGTON	Total AdultICU Capacity	0
1602982802.61678	WASHINGTON	Total PediatricICU Capacity	0
